"Datum","Ucionica","Dan u nedelji","Vreme"
"09-01-2023","Raf01 (u)","MONDAY","15:15:00-18:00:00"
"09-01-2023","Raf03 (u)","MONDAY","09:15:00-11:00:00"
"09-01-2023","Raf03 (u)","MONDAY","17:15:00-19:00:00"
"16-01-2023","Raf04 (u)","MONDAY","09:15:00-11:00:00"
"16-01-2023","Kolarac2","MONDAY","15:15:00-17:00:00"
"23-01-2023","Raf15 (MD)","MONDAY","11:15:00-14:00:00"
"23-01-2023","Raf01 (u)","MONDAY","12:15:00-15:00:00"
"23-01-2023","Raf10 (a)","MONDAY","09:15:00-14:00:00"
"13-02-2023","Raf05 (u)","MONDAY","09:15:00-11:00:00"
"13-02-2023","Raf02 (u)","MONDAY","12:15:00-15:00:00"
"13-02-2023","Raf11 (a)","MONDAY","09:15:00-14:00:00"
"13-02-2023","Raf08 (a)","MONDAY","09:15:00-15:00:00"
"27-02-2023","Raf16 (MD)","MONDAY","14:15:00-17:00:00"
"06-03-2023","Rg07 (u)","MONDAY","15:15:00-17:00:00"
"06-03-2023","Raf20 (a)","MONDAY","11:15:00-13:00:00"
"06-03-2023","Raf01 (u)","MONDAY","19:15:00-21:00:00"
"13-03-2023","Rg02 (u)","MONDAY","09:15:00-16:00:00"
"20-03-2023","Raf04 (u)","MONDAY","15:15:00-17:00:00"
"27-03-2023","Raf21 (a)","MONDAY","15:15:00-18:00:00"
"27-03-2023","Raf07 (u)","MONDAY","16:15:00-18:00:00"
"03-04-2023","Raf14 (MD)","MONDAY","14:15:00-17:00:00"
"03-04-2023","Raf13 (MD)","MONDAY","12:15:00-15:00:00"
"03-04-2023","Raf18 (a)","MONDAY","09:15:00-14:00:00"
"10-04-2023","Raf07 (u)","MONDAY","14:15:00-16:00:00"
"10-04-2023","Raf04 (u)","MONDAY","17:15:00-20:00:00"
"24-04-2023","Rg07 (u)","MONDAY","13:15:00-15:00:00"
"24-04-2023","Raf11 (a)","MONDAY","15:15:00-17:00:00"
"08-05-2023","Raf20 (a)","MONDAY","09:15:00-11:00:00"
"08-05-2023","Raf21 (a)","MONDAY","13:15:00-15:00:00"
"08-05-2023","Raf16 (MD)","MONDAY","09:15:00-11:00:00"
"08-05-2023","Kolarac2","MONDAY","18:15:00-21:00:00"
"15-05-2023","Raf16 (MD)","MONDAY","17:15:00-20:00:00"
"15-05-2023","Raf07 (u)","MONDAY","09:15:00-11:00:00"
"29-05-2023","Raf03 (u)","MONDAY","15:15:00-16:00:00"
"29-05-2023","Raf14 (MD)","MONDAY","17:15:00-20:00:00"
"05-06-2023","Kolarac2","MONDAY","13:15:00-15:00:00"
"12-06-2023","Rg01 (u)","MONDAY","09:15:00-16:00:00"
"19-06-2023","Raf05 (u)","MONDAY","19:15:00-21:00:00"
"19-06-2023","Raf20 (a)","MONDAY","13:15:00-15:00:00"
"19-06-2023","Raf05 (u)","MONDAY","13:15:00-15:00:00"
"19-06-2023","Kolarac1","MONDAY","09:15:00-19:00:00"
"03-07-2023","Raf12 (MD)","MONDAY","09:15:00-12:00:00"
"03-07-2023","Raf07 (u)","MONDAY","11:15:00-14:00:00"
"10-07-2023","Raf21 (a)","MONDAY","19:15:00-21:00:00"
"10-07-2023","Raf01 (u)","MONDAY","09:15:00-12:00:00"
"10-07-2023","Raf09 (a)","MONDAY","16:15:00-18:00:00"
"10-07-2023","Rg06 (u)","MONDAY","09:15:00-13:00:00"
"17-07-2023","Raf09 (a)","MONDAY","09:15:00-16:00:00"
"24-07-2023","Kolarac3","MONDAY","19:15:00-21:00:00"
"31-07-2023","Raf05 (u)","MONDAY","17:15:00-19:00:00"
"31-07-2023","Raf19 (a)","MONDAY","09:15:00-14:00:00"
"07-08-2023","Raf20 (a)","MONDAY","17:15:00-20:00:00"
"14-08-2023","Raf05 (u)","MONDAY","15:15:00-17:00:00"
"21-08-2023","Rg04 (u)","MONDAY","09:15:00-16:00:00"
"04-09-2023","Kolarac3","MONDAY","12:15:00-15:00:00"
"11-09-2023","Rg01 (u)","MONDAY","17:15:00-20:00:00"
"18-09-2023","Raf16 (MD)","MONDAY","11:15:00-14:00:00"
"25-09-2023","Raf04 (u)","MONDAY","11:15:00-13:00:00"
"25-09-2023","Raf10 (a)","MONDAY","18:15:00-20:00:00"
"02-10-2023","Raf04 (u)","MONDAY","13:15:00-15:00:00"
"02-10-2023","Raf14 (MD)","MONDAY","09:15:00-12:00:00"
"02-10-2023","Kolarac1","MONDAY","19:15:00-21:00:00"
"09-10-2023","Kolarac3","MONDAY","15:15:00-18:00:00"
"09-10-2023","Raf02 (u)","MONDAY","09:15:00-12:00:00"
"16-10-2023","Raf03 (u)","MONDAY","19:15:00-21:00:00"
"16-10-2023","Raf07 (u)","MONDAY","18:15:00-21:00:00"
"23-10-2023","Raf21 (a)","MONDAY","11:15:00-13:00:00"
"30-10-2023","Raf06 (a)","MONDAY","09:15:00-16:00:00"
"06-11-2023","Rg06 (u)","MONDAY","13:15:00-16:00:00"
"04-12-2023","Raf02 (u)","MONDAY","15:15:00-18:00:00"
"11-12-2023","Rg07 (u)","MONDAY","09:15:00-11:00:00"
"18-12-2023","Kolarac2","MONDAY","11:15:00-13:00:00"
"18-12-2023","Raf03 (u)","MONDAY","14:15:00-15:00:00"
"25-12-2023","Raf02 (u)","MONDAY","18:15:00-21:00:00"
"25-12-2023","Raf05 (u)","MONDAY","11:15:00-13:00:00"
"01-01-2024","Raf11 (a)","MONDAY","17:15:00-19:00:00"
"03-01-2023","Kolarac1","TUESDAY","09:15:00-19:00:00"
"03-01-2023","Kolarac2","TUESDAY","19:15:00-21:00:00"
"03-01-2023","Raf08 (a)","TUESDAY","09:15:00-13:00:00"
"17-01-2023","Kolarac3","TUESDAY","11:15:00-13:00:00"
"17-01-2023","Raf05 (u)","TUESDAY","09:15:00-12:00:00"
"31-01-2023","Raf13 (MD)","TUESDAY","12:15:00-15:00:00"
"07-02-2023","Raf20 (a)","TUESDAY","15:15:00-17:00:00"
"07-02-2023","Raf07 (u)","TUESDAY","14:15:00-16:00:00"
"14-02-2023","Raf11 (a)","TUESDAY","15:15:00-17:00:00"
"07-03-2023","Raf10 (a)","TUESDAY","18:15:00-20:00:00"
"07-03-2023","Raf18 (a)","TUESDAY","09:15:00-14:00:00"
"21-03-2023","Raf21 (a)","TUESDAY","17:15:00-20:00:00"
"28-03-2023","Raf04 (u)","TUESDAY","19:15:00-21:00:00"
"28-03-2023","Rg02 (u)","TUESDAY","19:15:00-21:00:00"
"11-04-2023","Kolarac3","TUESDAY","15:15:00-17:00:00"
"18-04-2023","Rg04 (u)","TUESDAY","17:15:00-19:00:00"
"18-04-2023","Raf06 (a)","TUESDAY","09:15:00-14:00:00"
"18-04-2023","Kolarac3","TUESDAY","20:15:00-21:00:00"
"18-04-2023","Raf10 (a)","TUESDAY","09:15:00-13:00:00"
"25-04-2023","Raf04 (u)","TUESDAY","09:15:00-11:00:00"
"25-04-2023","Raf09 (a)","TUESDAY","14:15:00-16:00:00"
"25-04-2023","Raf14 (MD)","TUESDAY","15:15:00-18:00:00"
"02-05-2023","Raf07 (u)","TUESDAY","18:15:00-21:00:00"
"09-05-2023","Raf02 (u)","TUESDAY","10:15:00-13:00:00"
"16-05-2023","Raf02 (u)","TUESDAY","18:15:00-20:00:00"
"23-05-2023","Kolarac3","TUESDAY","09:15:00-11:00:00"
"23-05-2023","Rg07 (u)","TUESDAY","15:15:00-17:00:00"
"30-05-2023","Raf15 (MD)","TUESDAY","15:15:00-18:00:00"
"30-05-2023","Rg02 (u)","TUESDAY","17:15:00-19:00:00"
"30-05-2023","Raf05 (u)","TUESDAY","15:15:00-17:00:00"
"06-06-2023","Raf21 (a)","TUESDAY","13:15:00-15:00:00"
"06-06-2023","Raf13 (MD)","TUESDAY","09:15:00-12:00:00"
"13-06-2023","Raf19 (a)","TUESDAY","09:15:00-14:00:00"
"20-06-2023","Raf03 (u)","TUESDAY","15:15:00-17:00:00"
"20-06-2023","Raf10 (a)","TUESDAY","16:15:00-18:00:00"
"20-06-2023","Raf16 (MD)","TUESDAY","18:15:00-21:00:00"
"27-06-2023","Raf15 (MD)","TUESDAY","09:15:00-12:00:00"
"27-06-2023","Raf01 (u)","TUESDAY","14:15:00-17:00:00"
"11-07-2023","Kolarac3","TUESDAY","17:15:00-20:00:00"
"11-07-2023","Raf05 (u)","TUESDAY","17:15:00-19:00:00"
"11-07-2023","Kolarac1","TUESDAY","19:15:00-21:00:00"
"01-08-2023","Raf05 (u)","TUESDAY","12:15:00-15:00:00"
"08-08-2023","Raf03 (u)","TUESDAY","09:15:00-12:00:00"
"08-08-2023","Raf16 (MD)","TUESDAY","12:15:00-15:00:00"
"08-08-2023","Rg06 (u)","TUESDAY","09:15:00-16:00:00"
"15-08-2023","Raf01 (u)","TUESDAY","12:15:00-14:00:00"
"15-08-2023","Kolarac2","TUESDAY","09:15:00-19:00:00"
"22-08-2023","Raf02 (u)","TUESDAY","13:15:00-15:00:00"
"22-08-2023","Raf06 (a)","TUESDAY","17:15:00-19:00:00"
"22-08-2023","Raf11 (a)","TUESDAY","09:15:00-14:00:00"
"29-08-2023","Kolarac3","TUESDAY","13:15:00-15:00:00"
"29-08-2023","Raf09 (a)","TUESDAY","08:15:00-14:00:00"
"05-09-2023","Rg01 (u)","TUESDAY","09:15:00-16:00:00"
"12-09-2023","Rg07 (u)","TUESDAY","13:15:00-15:00:00"
"12-09-2023","Raf11 (a)","TUESDAY","17:15:00-19:00:00"
"12-09-2023","Raf10 (a)","TUESDAY","13:15:00-16:00:00"
"03-10-2023","Rg07 (u)","TUESDAY","11:15:00-13:00:00"
"03-10-2023","Raf04 (u)","TUESDAY","15:15:00-17:00:00"
"03-10-2023","Raf08 (a)","TUESDAY","17:15:00-19:00:00"
"10-10-2023","Raf09 (a)","TUESDAY","17:15:00-19:00:00"
"10-10-2023","Raf14 (MD)","TUESDAY","09:15:00-11:00:00"
"17-10-2023","Rg02 (u)","TUESDAY","09:15:00-16:00:00"
"24-10-2023","Raf04 (u)","TUESDAY","11:15:00-13:00:00"
"24-10-2023","Raf12 (MD)","TUESDAY","12:15:00-15:00:00"
"24-10-2023","Raf02 (u)","TUESDAY","15:15:00-18:00:00"
"24-10-2023","Raf03 (u)","TUESDAY","12:15:00-14:00:00"
"24-10-2023","Rg04 (u)","TUESDAY","09:15:00-16:00:00"
"31-10-2023","Raf21 (a)","TUESDAY","15:15:00-17:00:00"
"31-10-2023","Raf03 (u)","TUESDAY","17:15:00-19:00:00"
"31-10-2023","Raf07 (u)","TUESDAY","16:15:00-18:00:00"
"07-11-2023","Raf20 (a)","TUESDAY","18:15:00-21:00:00"
"07-11-2023","Rg07 (u)","TUESDAY","09:15:00-11:00:00"
"14-11-2023","Raf16 (MD)","TUESDAY","09:15:00-12:00:00"
"21-11-2023","Raf14 (MD)","TUESDAY","12:15:00-14:00:00"
"21-11-2023","Rg07 (u)","TUESDAY","17:15:00-19:00:00"
"05-12-2023","Raf06 (a)","TUESDAY","14:15:00-17:00:00"
"05-12-2023","Raf20 (a)","TUESDAY","11:15:00-13:00:00"
"19-12-2023","Raf03 (u)","TUESDAY","19:15:00-21:00:00"
"19-12-2023","Raf08 (a)","TUESDAY","13:15:00-15:00:00"
"26-12-2023","Raf04 (u)","TUESDAY","17:15:00-19:00:00"
"26-12-2023","Raf07 (u)","TUESDAY","11:15:00-14:00:00"
"26-12-2023","Raf20 (a)","TUESDAY","13:15:00-15:00:00"
"26-12-2023","Raf07 (u)","TUESDAY","09:15:00-11:00:00"
"02-01-2024","Raf04 (u)","TUESDAY","13:15:00-15:00:00"
"02-01-2024","Rg01 (u)","TUESDAY","17:15:00-19:00:00"
"04-01-2023","Raf04 (u)","WEDNESDAY","17:15:00-19:00:00"
"04-01-2023","Rg02 (u)","WEDNESDAY","18:15:00-21:00:00"
"11-01-2023","Raf20 (a)","WEDNESDAY","15:15:00-18:00:00"
"11-01-2023","Raf07 (u)","WEDNESDAY","18:15:00-21:00:00"
"25-01-2023","Kolarac2","WEDNESDAY","13:15:00-15:00:00"
"01-02-2023","Raf04 (u)","WEDNESDAY","15:15:00-17:00:00"
"01-02-2023","Raf02 (u)","WEDNESDAY","11:15:00-14:00:00"
"08-02-2023","Raf14 (MD)","WEDNESDAY","09:15:00-11:00:00"
"08-02-2023","Raf01 (u)","WEDNESDAY","11:15:00-13:00:00"
"08-02-2023","CET","WEDNESDAY","09:15:00-11:00:00"
"08-02-2023","Rg07 (u)","WEDNESDAY","18:15:00-20:00:00"
"08-02-2023","Raf08 (a)","WEDNESDAY","18:15:00-21:00:00"
"08-02-2023","Raf09 (a)","WEDNESDAY","09:15:00-14:00:00"
"15-02-2023","Raf03 (u)","WEDNESDAY","13:15:00-15:00:00"
"15-02-2023","Raf21 (a)","WEDNESDAY","16:15:00-19:00:00"
"15-02-2023","Raf11 (a)","WEDNESDAY","09:15:00-14:00:00"
"22-02-2023","Raf05 (u)","WEDNESDAY","10:15:00-12:00:00"
"22-02-2023","Raf03 (u)","WEDNESDAY","17:15:00-19:00:00"
"22-02-2023","Raf02 (u)","WEDNESDAY","18:15:00-20:00:00"
"22-02-2023","Rg07 (u)","WEDNESDAY","11:15:00-13:00:00"
"22-02-2023","Raf02 (u)","WEDNESDAY","09:15:00-11:00:00"
"22-02-2023","Kolarac1","WEDNESDAY","19:15:00-21:00:00"
"01-03-2023","Raf02 (u)","WEDNESDAY","16:15:00-18:00:00"
"01-03-2023","Raf02 (u)","WEDNESDAY","14:15:00-16:00:00"
"01-03-2023","Kolarac2","WEDNESDAY","09:15:00-11:00:00"
"15-03-2023","Raf01 (u)","WEDNESDAY","13:15:00-15:00:00"
"22-03-2023","Raf04 (u)","WEDNESDAY","13:15:00-15:00:00"
"22-03-2023","Raf03 (u)","WEDNESDAY","10:15:00-13:00:00"
"22-03-2023","Raf15 (MD)","WEDNESDAY","11:15:00-13:00:00"
"22-03-2023","Raf14 (MD)","WEDNESDAY","18:15:00-20:00:00"
"22-03-2023","Raf08 (a)","WEDNESDAY","09:15:00-15:00:00"
"29-03-2023","Raf10 (a)","WEDNESDAY","14:15:00-16:00:00"
"12-04-2023","Rg01 (u)","WEDNESDAY","09:15:00-16:00:00"
"19-04-2023","Raf06 (a)","WEDNESDAY","16:15:00-18:00:00"
"19-04-2023","Raf16 (MD)","WEDNESDAY","11:15:00-14:00:00"
"19-04-2023","Raf13 (MD)","WEDNESDAY","12:15:00-15:00:00"
"03-05-2023","Raf21 (a)","WEDNESDAY","11:15:00-13:00:00"
"10-05-2023","Raf06 (a)","WEDNESDAY","09:15:00-16:00:00"
"17-05-2023","Raf21 (a)","WEDNESDAY","13:15:00-15:00:00"
"07-06-2023","Raf13 (MD)","WEDNESDAY","15:15:00-17:00:00"
"07-06-2023","Kolarac3","WEDNESDAY","11:15:00-13:00:00"
